id,name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,sideEffect5,sideEffect6,sideEffect7,sideEffect8,sideEffect9,sideEffect10,sideEffect11,sideEffect12,sideEffect13,sideEffect14,sideEffect15,sideEffect16,sideEffect17,sideEffect18,sideEffect19,sideEffect20,sideEffect21,sideEffect22,sideEffect23,sideEffect24,sideEffect25,sideEffect26,sideEffect27,sideEffect28,sideEffect29,sideEffect30,sideEffect31,sideEffect32,sideEffect33,sideEffect34,sideEffect35,sideEffect36,sideEffect37,sideEffect38,sideEffect39,sideEffect40,sideEffect41,use0,use1,use2,use3,use4,Chemical Class,Habit Forming,Therapeutic Class,Action Class,descriptions
329,anabel liquid gel,Ulsore Gel,Ulcerfree Gel,Mugel Freshora Gel,Orogard SG Gel,Mosiba Gel,No common side effects seen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Mouth ulcers,,,,,,No,STOMATOLOGICALS,,"Anabel Liquid Gel: View Uses, Side Effects, Price and Substitutes"
330,aricep 5 tablet,DavaIndia Donepezil 5mg Tablet,Demenza 5mg Tablet,Dnp 5mg Tablet,Gigapezil 5mg Tablet,Depzil 5mg Tablet,Nausea,Diarrhea,Insomnia (difficulty in sleeping),Vomiting,Muscle cramp,Fatigue,Weight loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Alzheimer's disease,,,,,Carbamate Derivative,No,NEURO CNS,Cholinesterase inhibitors - Alzheimer's disease,"Aricep 5 Tablet: View Uses, Side Effects, Price and Substitutes | 1mg"
331,amlosafe-at tablet,Biopress AM Tablet,Lupidip-A Tablet,Amlip AT Tablet,Amlovas-AT Tablet,Amdepin-AT Tablet,Sleepiness,Headache,Ankle swelling,"Flushing (sense of warmth in the face, ears, neck and trunk)",Slow heart rate,Palpitations,Nausea,Edema (swelling),Constipation,Tiredness,Cold extremities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),,,,,,No,CARDIAC,,Amlosafe-AT Tablet 15's contains Amlodipine (a calcium channel blocker) and Atenolol (a beta-blocker). Amlodipine acts by relaxing and widening the constricted blood vessels. This ultimately reduces the heart's workload and makes the heart more efficient at pumping blood throughout the body.
332,aceclo sr tablet,Algic 200mg Tablet SR,Topnac 200mg Tablet SR,Kindac 200mg Tablet SR,Ultranac 200mg Tablet SR,Bignac 200mg Tablet SR,Dizziness,Indigestion,Nausea,Abdominal pain,Increased liver enzymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,Dichlorobenzenes Derivative,No,PAIN ANALGESICS,NSAID's- Non-Selective COX 1&2 Inhibitors (acetic acid),"Aceclo SR Tablet: View Uses, Side Effects, Price and Substitutes | 1mg"
333,azopt opthalmic suspension,Brinzemic Eye Drop,Bridic 1% Eye Drop,Brinzodoc 1% Eye Drop,,,Blurred vision,Bitter taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Glaucoma, Ocular hypertension,,,,Thienothiazines Derivative,No,OPHTHAL,Carbonic anhydrase inhibitor,"Azopt (brinzolamide ophthalmic suspension) is a carbonic anhydrase inhibitor, which reduces the amount of fluid in the eye, used to treat certain types of glaucoma and other causes of high pressure inside the eye."
334,amitop 10 tablet,Triptop 10mg Tablet,Relidep 10mg Tablet,Amitone 10mg Tablet,Tryp 10mg Tablet,Amitril 10mg Tablet,Constipation,Dryness in mouth,Orthostatic hypotension (sudden lowering of blood pressure on standing),Weight gain,Aggressive behavior,Nasal congestion (stuffy nose),Sleepiness,Dizziness,Headache,Decreased libido,Nausea,Fatigue,Confusion,Tremors,Speech disorder,Palpitations,Taste change,Paresthesia (tingling or pricking sensation),Abnormality of voluntary movements,Loss of accommodation,Atrioventricular block,Micturition disorders,Erectile dysfunction,Abnormal ECG,Decreased sodium level in blood,,,,,,,,,,,,,,,,,,Treatment of Depression, Neuropathic pain,Treatment of Migraine,,,Dibenzocycloheptenes Derivative,No,NEURO CNS,Tricyclic antidepressants,"Amitop 10 Tablet contains Amitriptyline, a tricyclic antidepressant. It has anticholinergic and sedative properties. It prevents the reuptake, and hence the inactivation of neurotransmitters called noradrenaline and serotonin, that are present at the nerve terminals in our brain.29 Nov 2023"
335,ambulax m tablet,Anzal Plus -H 0.25mg/10mg Tablet,Azox P 0.25mg/10mg Tablet,Tensyn AZ M 0.25 mg/10 mg Tablet,Biozolam Plus 0.25 mg/10 mg Tablet,Zepro 0.25mg/10mg Tablet,Confusion,Drowsiness,Memory impairment,Slow heart rate,Tiredness,Uncoordinated body movements,Nightmares,Cold extremities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Anxiety disorder,,,,,,Yes,NEURO CNS,,"Ambulax M Tablet is a combination of two medicines: Alprazolam and Propranolol. Alprazolam is a benzodiazepine. It works by increasing the action of GABA, a chemical messenger which suppresses the abnormal and excessive activity of the nerve cells in brain.6 Dec 2023"
336,alcipro 500mg tablet,Wocipflo 500mg Tablet,Strox 500mg Tablet,Ciprodac 500 Tablet,Alciflox 500mg Tablet,Cifran OD 500mg Tablet,Headache,Dizziness,Gastrointestinal disorder,Joint pain,Urticaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Fluoroquinolone,No,GASTRO INTESTINAL,Quinolones/ Fluroquinolones,"It contains ciprofloxacin as its main component. It should be taken as directed by the doctor and in doses and duration as prescribed. It is not to be discontinued abruptly without informing your doctor. The common side effects of the Alcipro 500 mg tablets are nausea, diarrhoea, headache and stomach pain.26 Oct 2023"
337,assurans tablet,Sildaflow 20mg Tablet,Pulmoday 20mg Tablet,PAH 20 Tablet,Esylnafil 20mg Tablet,Penegra Pah Tablet,"Flushing (sense of warmth in the face, ears, neck and trunk)",Headache,Stiffness,Nosebleeds,Blurred vision,Indigestion,Muscle pain,Upset stomach,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Erectile dysfunction,,,,,Benzenesulfonamide Derivative,No,SEX STIMULANTS REJUVENATORS,Phosphodiesterase-V inhibitors,ASSURANS TABLET contains Sildenafil which belongs to the group of medicines called Phosphodiesterase type 5 (PDE 5) inhibitors. It is used for pulmonary arterial hypertension (PAH) in adults and children.29 Nov 2023
338,augpen lb 625 tablet,Nishclav 625 LB Tablet,Rzcv LB 500mg/125mg Tablet,Nexclav LB 500mg/125mg Tablet,Moxcid-LB 625 Tablet,Moxylik CV 500mg/125mg Tablet,Nausea,Diarrhea,Vomiting,Flatulence,Rash,Allergic reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Bacterial infections,,,,,,No,ANTI INFECTIVES,,"Augpen LB 625 Tablet is a combination of three medicines: Amoxycillin, Clavulanic Acid and Lactobacillus. Amoxycillin is an antibiotic. It works by preventing the formation of the bacterial protective covering which is essential for the survival of bacteria.29 Nov 2023"
339,alkaliser syrup,Alkapen Syrup,Alkatrol Syrup,Uriflame Syrup,Acitrol Syrup,Intalka Syrup,Stomach pain,Tiredness,Diarrhea,Nausea,Vomiting,Frequent urge to urinate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gout,Treatment of Kidney stone,,,,Carboxylic acid derivative,No,UROLOGY,Uricosuric agent-gout,"It contains disodium hydrogen citrate as the active ingredient. It acts as a urine alkalinzer. This syrup acts by increasing the pH of the urine, that is making it alkaline. Thus, enhancing the solubility of uric acid and further getting removed from the body via urine.17 Jul 2022"
340,aquaviron 40mg capsule,Testoki 40mg Capsule,Nuvir 40mg Capsule,Andriol 40mg Capsule,Testonova 40mg Capsule,Androsar 40mg Capsule,Diarrhea,Stomach discomfort,Increased sweating,"Injection site reactions (pain, swelling, redness)",Acne,Voice change,Breast enlargement in male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Male hypogonadism,,,,,Androgens Derivative,No,SEX STIMULANTS REJUVENATORS,Androgens,Aquaviron 40mg Capsule is an injectable preparation which contains a synthetic form of testosterone (a male sex hormone). It is used in the treatment of male hypogonadism (a condition in which the body does not produce enough testosterone).
341,angiwell 2.6mg tablet,Glyin 2.6mg Tablet,Corcont 2.6mg Tablet,Nitrobid 2.6mg Tablet,Iskem GTN 2.6mg Tablet,Nitrospan 2.6mg Tablet,Blurred vision,Decreased blood pressure,Dizziness,Headache,Increased heart rate,Lightheadedness,Paresthesia (tingling or pricking sensation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Angina (heart-related chest pain),,,,,Nitrates {Short acting},No,CARDIAC,NO Donors,"Angiwell 2.6mg Tablet: View Uses, Side Effects, Price and Substitutes"
342,anaflam th  4  tablet,Thioford AP Tablet,Bakwel-AP Tablet,Fense TH Tablet,Thio-Seradic Tablet,Triactin 4 Tablet,Nausea,Vomiting,Heartburn,Stomach pain,Diarrhea,Loss of appetite,Dryness in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Muscular pain,,,,,,No,PAIN ANALGESICS,,Product Summary
343,alzil 5 tablet,DavaIndia Donepezil 5mg Tablet,Demenza 5mg Tablet,Dnp 5mg Tablet,Gigapezil 5mg Tablet,Depzil 5mg Tablet,Nausea,Diarrhea,Insomnia (difficulty in sleeping),Vomiting,Muscle cramp,Fatigue,Weight loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Alzheimer's disease,,,,,Carbamate Derivative,No,NEURO CNS,Cholinesterase inhibitors - Alzheimer's disease,"Alzil-M 5 Tablet is a combination of two medicines: Donepezil and Memantine which treat Alzheimer's disease. Donepezil is a cholinesterase inhibitor while Memantine is an NMDA inhibitor. Together, they balance the levels of chemical messengers in the brain and help in the transmission of nerve signals.19 Feb 2024"
344,amlo 5mg tablet,Amset 5mg Tablet,Amlip 5 Tablet,Avacard 5mg Tablet,Amcard 5 Tablet,Amlong Tablet,Headache,Fatigue,Nausea,Abdominal pain,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Prevention of Angina (heart-related chest pain),,,,Dihydropyridinecarboxylic acids derivatives,No,CARDIAC,Calcium channel blockers- Dihydropyridines (DHP),"Amlo 5mg Tablet: View Uses, Side Effects, Price and Substitutes | 1mg"
345,asthalin plus expectorant,Bronkolyte Levo PD Syrup,Nakuf LS Syrup,Cleartuss LS Syrup,Chericof-LS Junior Syrup,Ventiphylline LS Junior Syrup,Nausea,Vomiting,Diarrhea,Upset stomach,Stomach pain,Allergic reaction,Dizziness,Headache,Rash,Hives,Tremors,Palpitations,Muscle cramp,Increased heart rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Cough with mucus,,,,,,No,RESPIRATORY,,"Asthalin Plus Expectorant is a combination of three medicines: Ambroxol, Levosalbutamol / Levalbuterol, Guaifenesin. It is used in the treatment of cough with mucus. Ambroxol is a mucolytic. It thins and loosens the mucus (phlegm) which makes it easier to cough out.29 Jan 2024"
346,ascabiol emulsion,Gamanom Emulsion,Hexab Emulsion,,,,"Application site reactions (burning, irritation, itching and redness)",Dry skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Scabies,,,,,,No,DERMA,,Ascabiol Skin Emulsion contains a combination of cetrimide and gamma benzene hexachloride as active substances. It is used for the treatment of scabies only in patients who cannot tolerate other medicines or who have failed treatment with other approved medicines.22 Jun 2022
347,amitone plus tablet,Trixide-H Tablet,Emotrip 12.5 mg/5 mg Tablet,Aculip H 12.5mg/5mg Tablet,Trixide 12.5 mg/5 mg Tablet,Kimitrip 12.5mg/5mg Tablet,Constipation,Difficulty in urination,Weight gain,Confusion,Orthostatic hypotension (sudden lowering of blood pressure on standing),Tiredness,Blurred vision,Dryness in mouth,Increased heart rate,Uncoordinated body movements,Depression,Memory impairment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Depression,,,,,,Yes,NEURO CNS,,A: AMITONE PLUS TABLET is a combination of Amitriptyline and Chlordiazepoxide which belongs to the group of medicines called Tricyclic antidepressants and Benzodiazepines respectively. It is used to treat moderate to severe depression and anxiety in adults.18 Jan 2023
348,akt 2 tablet,Rizide 450 mg/300 mg Tablet,Rifact Kid 450mg/300mg Tablet,Wokex 450mg/300mg Tablet,Coxwin ZH 450 mg/300 mg Tablet,Rifanex 450mg/300mg Tablet,Dark colored urine,Rash,Vomiting,Jaundice,Fever,Increased liver enzymes,Nausea,Peripheral neuropathy (tingling and numbness of feet and hand),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Tuberculosis (TB),,,,,,No,ANTI INFECTIVES,,"Akt 2 Tablet is a combination of two antibiotics: Rifampicin and Isoniazid, which treats tuberculosis (TB). Rifampicin works by inactivating a bacterial enzyme (RNA-polymerase) which is required by TB bacteria to make essential proteins and to reproduce.16 Feb 2024"
349,alex plus paediatric oral drops,Monkuff Oral Drops,Coldsoft Oral Drops,Zukamin Oral Drops,Coldest Oral Drops,Avnac Oral Drops,Vomiting,Headache,Restlessness,Anxiety,Dizziness,Tremors,Pale skin,High blood pressure,Seizure,Cerebral hemorrhage,Palpitations,Paresthesia (tingling or pricking sensation),Abdominal pain,Allergic reaction,Decreased appetite,Blurred vision,Dry nose,Dry throat,Excitement,Rash,,,,,,,,,,,,,,,,,,,,,,,Treatment of Common cold,,,,,,No,RESPIRATORY,,"Alex Plus Paediatric Oral Drops: View Uses, Side Effects ... - 1mg"
350,antacid tablet,Riogel S Tablet,,,,,Constipation,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Acidity, Stomach ulcers, Bloating,,,,No,GASTRO INTESTINAL,,Table: Basic Antacids
351,apresol tablet,Aprilife 25mg Tablet,Nepresol 25mg Tablet,,,,Diarrhea,Headache,Increased heart rate,Loss of appetite,Nausea,Palpitations,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Hypertension (high blood pressure),Treatment of Heart failure,,,,Phthalazines Derivatives,No,CARDIAC,Potassium channel opener,Apresol tablet contains dihydralazine as the active substance that works by relaxing the blood vessels. Apresol tablet should only be used in adults above 18 years of age.1 Dec 2023
352,atchol 40 tablet,Atorless 40mg Tablet,Lipikind 40 Tablet,Mactor 40 Tablet,Atorsave 40 Tablet,Atorvee 40mg Tablet,Dyspepsia,Abdominal pain,Indigestion,Diarrhea,Joint pain,Nasopharyngitis (inflammation of the throat and nasal passages),Nausea,Pain in extremities,Urinary tract infection,Abnormal liver function tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, High cholesterol,Prevention of Heart attack,,,,Pyrrole & heptanoic acid derivative,No,CARDIAC,HMG CoA inhibitors (statins),"Atchol 40 Tablet: View Uses, Side Effects, Price and Substitutes | 1mg"
353,amlong-h tablet,Amoline H 5mg/12.5mg Tablet,Amvio H 5 mg/12.5 mg Tablet,L Core 5 mg/12.5 mg Tablet,Amlokind-H Tablet,AMLOCAD-H 5MG/12.5MG TABLET,Glucose intolerance,Sleepiness,Ankle swelling,Headache,"Flushing (sense of warmth in the face, ears, neck and trunk)",Tiredness,Palpitations,Nausea,Increased blood uric acid,Decreased potassium level in blood,Altered blood lipid level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Hypertension (high blood pressure),,,,,,No,CARDIAC,,Product Summary
354,airz-ff capsule,,,,,,Runny nose,Sore throat,Upper respiratory tract infection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, General Anaesthesia, Peptic ulcer disease,,,,,No,RESPIRATORY,,"Airz-FF Capsule is a combination of three medicines : Glycopyrrolate, Formoterol, and Fluticasone Propionate, that treats Chronic obstructive pulmonary disease (COPD). Glycopyrrolate is an anticholinergic medication.29 Nov 2023"
355,arflur 3d tablet,Octace Plus Tablet,Anzifen SP Tablet,Mitigate SP Tablet,Petace S 100mg/500mg/15mg Tablet,Kace S 100mg/500mg/15mg Tablet,Nausea,Vomiting,Stomach pain,Indigestion,Heartburn,Loss of appetite,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,,"Arflur 3D Tablet: View Uses, Side Effects, Price and Substitutes | 1mg"
356,azmarda 200mg tablet,Sacutan 200 Tablet,Sacumada 200 Tablet,Arnicor 200 Tablet,Sacurise 200 Tablet,Arney 200 Tablet,Dizziness,Increased potassium level in blood,Fatigue,Hypotension (low blood pressure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Heart failure,,,,,,No,CARDIAC,,Azmarda 200mg Tablet is a combination of two medicines: Sacubitril and Valsartan which belong to a class of angiotensin receptor neprilysin inhibitor (ARNI). This combination treats heart failure by relaxing the blood vessels and making it easier for your heart to pump blood throughout your body.18 Dec 2023
357,amixide 10mg tablet,Trixide 25 mg/10 mg Tablet,Trixide-H 25mg/10mg Tablet,Mytrip Plus Tablet,Amize Forte 25 mg/10 mg Tablet,Amitone Forte 25 mg/10 mg Tablet,Constipation,Difficulty in urination,Weight gain,Confusion,Orthostatic hypotension (sudden lowering of blood pressure on standing),Tiredness,Blurred vision,Dryness in mouth,Increased heart rate,Uncoordinated body movements,Depression,Memory impairment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Depression,,,,,,Yes,NEURO CNS,,"AMIXIDE 10MG TABLET contains amitriptyline and chlordiazepoxide, which acts on the central nervous system and relieves the symptoms of depression and anxiety by increasing the levels of certain chemicals in the brain.18 Jan 2023"
358,avomine 25mg tablet md,Mexiphen -MD Tablet,,,,,Unusual production of breast milk in women and men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Nausea,Treatment of Vomiting,Treatment of Allergic conditions,Treatment of Motion sickness,,Phenothiazine Derivative,No,GASTRO INTESTINAL,H1 Antihistaminics (First Generation),"Avomine 25 Tablet 10's contains 'promethazine' which belongs to the class of 'phenothiazines'. It is an antihistamine and blocks the action of histamines (chemicals causing allergic symptoms). It can effectively treat allergic symptoms such as itching, watery eyes, hives, runny nose and sneezing."
359,arpizol 2mg tablet,Asprito 2 Tablet,Aripaso 2mg Tablet,Arip MT 2 Tablet,Apz 2mg Tablet,,Akathisia (inability to stay still),Anxiety,Blurred vision,Constipation,Dizziness,Fatigue,Headache,Increased saliva production,Indigestion,Insomnia (difficulty in sleeping),Nausea,Parkinsonism,Restlessness,Sleepiness,Tremors,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,, Schizophrenia, Mania,,,,Dihydrocarbostyril Drivative,No,NEURO CNS,Atypical Antipsychotics,"ARPIZOL 2MG TABLET contains Aripiprazole which belongs to the group of medicines called Anti-psychotic drugs. It is used to treat schizophrenia, especially in the adolescent patients (aged between 13-17 years). Schizophrenia is a mental disorder which affects a person's ability to think, feel and behave correctly.24 Nov 2022"
360,ascodex cough syrup,Vistadex Syrup,Aldrex Syrup,Imcuf DMR Syrup,Oldex Syrup,Ascodex DX Syrup,Nausea,Indigestion,Bloating,Upset stomach,Diarrhea,Dizziness,Headache,Sweating,Allergic reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Cough,,,,,,No,RESPIRATORY,,"A: The composition of Ascodex Expectorant consists of bromhexine, guaifenesin, menthol and terbutaline, as its active ingredients. Collectively these ingredients help in making your breath easier when your nose, lungs are filled with thick mucous.4 May 2022"
361,aerocort forte rotacap,,,,,,Hoarseness of voice,Headache,Dizziness,Pharyngitis,Vomiting,Bronchitis (inflammation of the airways),Dryness in mouth,Cough,Application site irritation,Nausea,Gastrointestinal motility disorder,Thrush,Throat irritation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Asthma,,,,,,No,RESPIRATORY,,Aerocort Forte Rotacap is a combination of two medicines: Levosalbutamol and Beclometasone. Levosalbutamol is a bronchodilator which works by relaxing the muscles in the airways and widens the airways. Beclometasone is a steroid medicine.19 Feb 2024
362,af 200 tablet,Falcon 200mg Tablet,Flow 200mg Tablet,Eselcon 200mg Tablet,Fole 200mg Tablet,Nixican 200 Tablet,Headache,Nausea,Stomach pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Fungal infections,,,,,Azole derivatives {Imidazoles},No,ANTI INFECTIVES,Fungal ergosterol synthesis inhibitor,"AF 200 Tablet: View Uses, Side Effects, Price and Substitutes | 1mg"
363,aquasurge  eye drop,Wat-R Eye Drop,Just Tears Eye Drop,Takfresh Eye Drop,Misty Eye Drop,Relub Eye Drop,Eye irritation,Burning eyes,Eye discomfort,Eye itching,Eye pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Dry eyes,,,,,Cellulose Derivative,No,OPHTHAL,Tear substitues,"Aquasurge Eye Drops 10 ml contains sodium carboxymethylcellulose, an eye lubricant."
364,atorva asp 75 capsule,Liponorm-Asp Capsule,Zivast ASP 10 Capsule,Atchol-ASP Capsule,Lipicure-AS 75 Capsule,Atorlip-ASP 10 Capsule,Abdominal pain,Constipation,Flatulence,Increased liver enzymes,Hepatitis (viral infection of liver),Reye's syndrome like symptoms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Prevention of heart attack and stroke,,,,,,No,CARDIAC,,"Atorva Asp 75 Capsule: View Uses, Side Effects, Price and Substitutes"
365,azivent 500 tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides,"Azivent 500 Tablet: View Uses, Side Effects, Price and Substitutes"
366,azithral eye ointment,Ayzeecon Eye Ointment,Azqure 1% Eye Ointment,Himycin Eye Ointment,Azocin 1% Eye Ointment,Estocin Eye Ointment,Burning eyes,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides,Azithral Eye Ointement 5 gm contains azithromycin which works by killing the conjunctivitis-causing bacteria. Thus Azithral Eye Ointement 5 gm treats bacterial eye infections.
367,adtrol xt tablet,Lumiacal-XT Tablet,Lumiacal-XT Tablet,,,,Dryness in mouth,Nausea,Constipation,Abdominal pain,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Nutritional deficiencies,,,,,,No,VITAMINS MINERALS NUTRIENTS,,Features & detailsComposition: Calcium-500Mg+Cholecalciferol-2000Iu+Folic Acid-1Mg+Mecobalamin-1500Mcg+Pyridoxal Phosphate-20Mg.Dosage: As directed by the Physician.Storage Instructions: Store protected from moisture at a temperature not exceeding 30° C.
368,aqualube eye drop,Wat-R Eye Drop,Just Tears Eye Drop,Takfresh Eye Drop,Misty Eye Drop,Relub Eye Drop,Eye irritation,Burning eyes,Eye discomfort,Eye itching,Eye pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Dry eyes,,,,,Cellulose Derivative,No,OPHTHAL,Tear substitues,"Aqualube Eye Drop: View Uses, Side Effects, Price and Substitutes"
369,antisnake venom injection,Snake Antivenin Injection,V Asv Injection,Snake Venom Antiserum Injection,,,Headache,Nausea,Vomiting,Diarrhea,Stomach pain,Chills,Muscle pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Snake Bite,,,,,,No,VACCINES,,Snake Venom Antiserum₹ 450 / Piece WhatsApp.Doxofylline Injection₹ 15 / Piece WhatsApp.Inj Artesunate 60 Mg₹ 18 / Unit WhatsApp.Clindamycin Phosphate Injection Ip 600mg/4ml₹ 32 / Piece WhatsApp.
370,acrotac 25mg capsule,Bdace 25mg Capsule,Sentrane 25mg Capsule,Glacitret 25mg Capsule,Acitrin 25mg Capsule,Acitkon 25mg Capsule,Dryness in mouth,Skin peeling,Itching,Hair loss,Dry skin,Lip inflammation,Dry eye,Inflammation of the nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Psoriasis,,,,,Retinoids,No,DERMA,Retinoids- Second generation,"ACROTAC 25MG contains acitretin which belongs to a group of medicines called 'retinoids. It is used to treat severe skin condition in which the skin has become thick and scaly. These skin problems include the psoriasis, ichthyosis and keratosis follicularis (Darier's disease)."
371,azathioprine 50mg tablet,Transimune 50mg Tablet,Azap 50 Tablet,Zesoris-AZ 50mg Tablet,Autorin 50mg Tablet,Azawan Tablet,Decreased white blood cell count,Increased bleeding tendency,Nausea,Infection,Loss of appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Prevention of organ rejection in transplant patients,Treatment of Rheumatoid arthritis,,,,"Nucleoside Analog, and Purines",No,ANTI NEOPLASTICS,Immunosuppressant- Purine analogs,"Azathioprine 50mg Tablet: View Uses, Side Effects, Price and ... - 1mg"
372,amrolstar nail lacquer,AM Laqer Nail Lacquer,Amrolmac Nail Lacquer,Fungicros Nail Lacquer,Loceryl Nail Lacquer,,Blisters on skin,Nail disorder,Skin irritation,Skin rash,Erythema (skin redness),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Fungal nail infections,,,,,Phenylpropanes derivatives,No,DERMA,Antifungal Others,"Amrolstar Nail Lacquer: View Uses, Side Effects, Price and Substitutes"
373,allercet-m syrup,Montina-L Syrup,1-AL M Syrup,Montemac-L Syrup,Lasma LC kid Syrup,Romilast L Syrup,Rash,Nausea,Diarrhea,Dryness in mouth,Fatigue,Headache,Skin rash,Sleepiness,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,Treatment of Hay fever,Treatment of Allergic skin conditions,,,,No,RESPIRATORY,,"Allercet-M Syrup contains Levocetirizine and Montelukast. Together these two relieve sneezing and runny nose caused due to allergies. Levocetirizine is an antiallergic that blocks a chemical messenger (histamine) responsible for runny nose, watery eyes, and sneezing. Montelukast is a leukotriene antagonist.29 Nov 2023"
374,atchol 10 tablet,Atorast 10mg Tablet,Zivast 10 Tablet,Storvas 10 Tablet,Tonact 10 Tablet,Atorlip 10 Tablet,Dyspepsia,Abdominal pain,Indigestion,Diarrhea,Joint pain,Nasopharyngitis (inflammation of the throat and nasal passages),Nausea,Pain in extremities,Urinary tract infection,Abnormal liver function tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, High cholesterol,Prevention of Heart attack,,,,Pyrrole & heptanoic acid derivative,No,CARDIAC,HMG CoA inhibitors (statins),"Atchol 10 Tablet 10's contains 'Atorvastatin' which works by slowing the production of cholesterol in the body to decrease the amount of cholesterol that may build up on the arteries walls and block blood flow to the heart, brain, and other parts of the body."
375,alphagan z ophthalmic solution,Brimopress-LS Eye Drops,Cibrim Z Eye Drops,,,,Blurred vision,Drowsiness,Headache,Dryness in mouth,Conjunctivitis,Conjunctival hyperemia,Eye itching,Burning sensation,Follicular conjunctivitis,Allergic reaction in eye,Eyelid inflammation,Photophobia,Corneal erosion,Dry eye,Visual disorder,Dizziness,Taste change,Upper respiratory tract infection,Conjunctival blanching,Gastrointestinal discomfort,Fatigue,Stinging sensation,,,,,,,,,,,,,,,,,,,,,Treatment of Glaucoma,,,,,,No,OPHTHAL,,"Alphagan Z 0.1 % Description

 It contains brimonidine as the active ingredient. Alphagan Z ophthalmic solution works by decreasing the production of aqueous humour (watery fluid similar to plasma) in the eye which helps to reduce the pressure inside the eyes. Use this medicine exactly as prescribed by the doctor.27 Sept 2022"
