id,name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,sideEffect5,sideEffect6,sideEffect7,sideEffect8,sideEffect9,sideEffect10,sideEffect11,sideEffect12,sideEffect13,sideEffect14,sideEffect15,sideEffect16,sideEffect17,sideEffect18,sideEffect19,sideEffect20,sideEffect21,sideEffect22,sideEffect23,sideEffect24,sideEffect25,sideEffect26,sideEffect27,sideEffect28,sideEffect29,sideEffect30,sideEffect31,sideEffect32,sideEffect33,sideEffect34,sideEffect35,sideEffect36,sideEffect37,sideEffect38,sideEffect39,sideEffect40,sideEffect41,use0,use1,use2,use3,use4,Chemical Class,Habit Forming,Therapeutic Class,Action Class
5148,axclopain-s tablet,Asozen SR Plus 100mg/325mg/10mg Tablet,Accept-SP Tablet,Combifenac SP 100mg/325mg/10mg Tablet,Aceloflam SP Tablet,Parofen-S Tablet,Nausea,Vomiting,Stomach pain,Indigestion,Heartburn,Loss of appetite,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
5149,apijen syrup,Trisotis Plus Syrup,Anzicyp Syrup,Mecyp Syrup,Cytadine-TS Syrup,Pneucyprodin T Syrup,Constipation,Dryness in mouth,Drowsiness,Sleepiness,Blurred vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Appetite stimulant,,,,,,No,VITAMINS MINERALS NUTRIENTS,
5150,azunate l 240 mg/40 mg tablet,,,,,,Headache,Loss of appetite,Dizziness,Weakness,Joint pain,Muscle pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Malaria,,,,,,No,ANTI MALARIALS,
5151,alight gel,Alight Plus Gel 15gm for Acne Treatment,Nayzit Gel,Nioclean AD Gel,Acnesol A Nano Gel,Acnicin Gel,Skin peeling,Erythema (skin redness),Itching,Dry skin,Burning sensation at the site of application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Acne,,,,,,No,DERMA,
5152,aldezol 400mg tablet,Metro 400mg Tablet,Unimegyl 400mg Tablet,Metgyl 400mg Tablet,Metropen 400mg Tablet,Metrocon 400mg Tablet,Headache,Dryness in mouth,Nausea,Metallic taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,Treatment of Parasitic infections,,,,Nitroimidazole,No,GASTRO INTESTINAL,5-Nitroimidazole (Antiprotozoal & Antibacterial)
5153,aclo sp 100mg/325mg/15mg tablet,Vetory SP Tablet,Ibugesic ASP Tablet,Acemiz-S Tablet,Dolokind AA Tablet,Anaflam Xps  Tablet,Nausea,Vomiting,Stomach pain,Indigestion,Heartburn,Loss of appetite,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
5154,altispor 100mg capsule,Itralase 100 Capsule,Canditral 100 Capsule,Syntran Capsule,Itrafree 100mg Capsule,Itromed 100 Capsule,Nausea,Common cold,Cough,Blurred vision,Menstrual disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Fungal infections,,,,,Azoles {Triazoles},No,OPHTHAL,Fungal ergosterol synthesis inhibitor
5155,arsulide d 20 mg/100 mg tablet,Nelsid D 20 mg/100 mg Tablet,Nidic Tablet,SPASMONICE 20MG/100MG TABLET,Nuspas Tablet,Menark Tablet,Diarrhea,Nausea,Vomiting,Dryness in mouth,Sleepiness,Weakness,Nervousness,Dizziness,Blurred vision,Increased liver enzymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Abdominal pain,,,,,,No,GASTRO INTESTINAL,
5156,acrobenz a gel,Pernex-Plus Gel,Adapure Gel,Proxaid Gel,Abzit Gel,Oraface-Bpo Gel,Erythema (skin redness),Burning sensation,Scaling,Stinging sensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Acne,,,,,,No,DERMA,
5157,acelic-p tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Ark-AP Tablet,Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
5158,askon 150mg tablet,Venzol 150mg Tablet,Luzo 150mg Tablet,Fluent 150mg Tablet,Gocan 150mg Tablet,Fluka 150 Tablet,Headache,Nausea,Stomach pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Fungal infections,,,,,Azole derivatives {Imidazoles},No,ANTI INFECTIVES,Fungal ergosterol synthesis inhibitor
5159,aldol 400mg tablet,Olworm 400mg Tablet,Zeebee Tablet,Zybend Tablet,Albekem 400mg Tablet,Sezole 400mg Tablet,Vomiting,Dizziness,Increased liver enzymes,Nausea,Loss of appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Parasitic infections,,,,,2-Benzimidazolylcarbamic acid esters,No,ANTI INFECTIVES,Antiprotozoal agents
5160,azoflox oz 200mg/500mg tablet,Dioflox OZ 200 mg/500 mg Tablet,Orni-O Tablet,Oflotas-OZ Tablet,Zorno Tablet,Ornof Tablet,Nausea,Vomiting,Dizziness,Headache,Insomnia (difficulty in sleeping),Itching,Vaginal inflammation,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial & parasitic infections,,,,,,No,GASTRO INTESTINAL,
5161,albela 400mg tablet,Olworm 400mg Tablet,Zeebee Tablet,Zybend Tablet,Albekem 400mg Tablet,Sezole 400mg Tablet,Vomiting,Dizziness,Increased liver enzymes,Nausea,Loss of appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Parasitic infections,,,,,2-Benzimidazolylcarbamic acid esters,No,ANTI INFECTIVES,Antiprotozoal agents
5162,acnemac 500mg tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Azee 500 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
5163,alokoff syrup,Respicure-D Syrup,Chericof Syrup,Respicure-D Syrup,Ataqued Syrup,Ascoril D Junior Cough Syrup,Nausea,Vomiting,Loss of appetite,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Dry cough,,,,,,No,RESPIRATORY,
5164,ancept-s tablet dr,Moficept-S 360 Tablet DR,Mycodapt S 360mg Tablet DR,Immutil-S 360 Tablet DR,Ponophen-S 360 Tablet DR,Mofecon-S 360 Tablet DR,Nausea,Vomiting,Diarrhea,Abdominal pain,Headache,High blood pressure,Decreased white blood cell count (neutrophils),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Prevention of organ rejection in transplant patients,,,,,Phthalide Derivative,No,ANTI NEOPLASTICS,Immunosuppressant- Purine analogs
5165,azitom 500mg tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
5166,asprito 30 tablet,Apiz 30mg Tablet,Apicord 30mg Tablet,Arive 30mg Tablet,Aripicad 30mg Tablet,Aria 30mg Tablet,Akathisia (inability to stay still),Anxiety,Blurred vision,Constipation,Dizziness,Fatigue,Headache,Increased saliva production,Indigestion,Insomnia (difficulty in sleeping),Nausea,Parkinsonism,Restlessness,Sleepiness,Tremors,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,, Schizophrenia, Mania,,,,Dihydrocarbostyril Drivative,No,NEURO CNS,Atypical Antipsychotics
5167,anxibrium t tablet,Normozin 10mg/1mg Tablet,Zepox T 10mg/1mg Tablet,Trixia 10 mg/1 mg Tablet,Jotal 10 mg/1 mg Tablet,Tricalm 10 mg/1 mg Tablet,Sedation,Confusion,Weight gain,Orthostatic hypotension (sudden lowering of blood pressure on standing),Memory impairment,Urinary retention,Dizziness,Increased prolactin level in blood,Tiredness,Tremors,Muscle stiffness,Uncoordinated body movements,Dryness in mouth,Constipation,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Schizophrenia,,,,,,Yes,NEURO CNS,
5168,atorise asp 20mg/75mg capsule,DavaIndia Atorvastatin+Aspirin 20mg/75mg Capsule,Biotor Asp 20mg/75mg Capsule,Atorvatin AP 20/75 Capsule,Lipvas ASP 20 Capsule,Modlip-Asg 20 Capsule,Abdominal pain,Constipation,Flatulence,Increased liver enzymes,Hepatitis (viral infection of liver),Reye's syndrome like symptoms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Prevention of heart attack and stroke,,,,,,No,CARDIAC,
5169,ascoxia mr 60mg/4mg tablet,Etos MR Tablet,Etoro TH 60mg/4mg Tablet,Brutaflam-MR 4 Tablet,Thioquest ET 4 Tablet,E-Tolagin 4 Tablet,Diarrhea,Stomach pain,Indigestion,Flatulence,Swelling of hands,Feet swelling,Flu-like symptoms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Pain due to muscle spasm,,,,,,No,PAIN ANALGESICS,
5170,abetrol d 10mg/20mg tablet,Rebozen-D 10mg/20mg Tablet,Sonirab-D Tablet,Rendox D 10mg/20mg Tablet,Rabep-D Tablet,Rabbris D 10mg/20mg Tablet,Diarrhea,Stomach pain,Dryness in mouth,Headache,Dizziness,Flatulence,Weakness,Flu-like symptoms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gastroesophageal reflux disease (Acid reflux),Treatment of Peptic ulcer disease,,,,,No,GASTRO INTESTINAL,
5171,airtec fb 6mcg/100mcg capsule,Vent FB 6 mcg/100 mcg Capsule,Budevin F 6mcg/100mcg Divicap,Budirik 100 Capsule,Budefine 6mcg/100mcg Capsule,Symbiva 100mcg Capsule,Headache,Nausea,Vomiting,Stomach discomfort,Dizziness,Cough,Nasopharyngitis (inflammation of the throat and nasal passages),Upper respiratory tract infection,Sinus inflammation,Fungal infection of oropharynx,Tremors,Palpitations,Voice change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Chronic obstructive pulmonary disease (COPD),,,,,,No,RESPIRATORY,
5172,axyclo tablet sr,Devegesic 100mg/15mg Tablet SR,,,,,Nausea,Vomiting,Heartburn,Loss of appetite,Indigestion,Stomach pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
5173,ampine at 5mg/50mg tablet,Biopress AM Tablet,Lupidip-A Tablet,Amlip AT Tablet,Amlovas-AT Tablet,Amdepin-AT Tablet,Sleepiness,Headache,Ankle swelling,"Flushing (sense of warmth in the face, ears, neck and trunk)",Slow heart rate,Palpitations,Nausea,Edema (swelling),Constipation,Tiredness,Cold extremities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),,,,,,No,CARDIAC,
5174,aziton 500mg tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
5175,allin 400mg tablet,Olworm 400mg Tablet,Zeebee Tablet,Zybend Tablet,Albekem 400mg Tablet,Sezole 400mg Tablet,Vomiting,Dizziness,Increased liver enzymes,Nausea,Loss of appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Parasitic infections,,,,,2-Benzimidazolylcarbamic acid esters,No,ANTI INFECTIVES,Antiprotozoal agents
5176,anacin multipain 400 mg/40 mg tablet,,,,,,Nausea,Stomach pain,Indigestion,Increased heart rate,Restlessness,Heartburn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Headache,,,,,,No,PAIN ANALGESICS,
5177,anxibrium t tablet,Normozin 10mg/1mg Tablet,Zepox T 10mg/1mg Tablet,Trixia 10 mg/1 mg Tablet,Jotal 10 mg/1 mg Tablet,Tricalm 10 mg/1 mg Tablet,Sedation,Confusion,Weight gain,Orthostatic hypotension (sudden lowering of blood pressure on standing),Memory impairment,Urinary retention,Dizziness,Increased prolactin level in blood,Tiredness,Tremors,Muscle stiffness,Uncoordinated body movements,Dryness in mouth,Constipation,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Schizophrenia,,,,,,Yes,NEURO CNS,
5178,adifine-sp tablet,Vetory SP Tablet,Ibugesic ASP Tablet,Acemiz-S Tablet,Dolokind AA Tablet,Anaflam Xps  Tablet,Nausea,Vomiting,Stomach pain,Indigestion,Heartburn,Loss of appetite,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
5179,asterab 20 tablet,Cyra 20mg Tablet,Pepcia 20 Tablet,Rabesec 20 Tablet,Rabium 20 Tablet,Rabicip 20 Tablet,Diarrhea,Dizziness,Flatulence,Headache,Nausea,Sore throat,Stomach pain,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Gastroesophageal reflux disease (Acid reflux),Treatment of Peptic ulcer disease,,,,Sulfinylbenzimidazole Derivative,No,GASTRO INTESTINAL,Proton pump inhibitors
5180,alispan 10mg tablet,Alastin 10mg Tablet,Lorhine 10mg Tablet,Claridin Tablet,Loritoz 10mg Tablet,Lorshine 10mg Tablet,Sleepiness,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Allergic conditions,,,,,Piperidine Derivative,No,RESPIRATORY,H1 Antihistaminics (second Generation)
5181,adsleep 10mg tablet,Zolicalm 10mg Tablet,Zoden 10mg Tablet,Inzofresh 10 Tablet,Zopid 10mg Tablet,Zolpil 10mg Tablet,Dizziness,Sleepiness,Headache,Nausea,Stomach pain,Memory loss,Vertigo,Vomiting,Back pain,Agitation,Double vision,Depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Insomnia,,,,,Imidazopyridine Derivative,Yes,NEURO CNS,Non-benzodiazepine hypnotics (Z Compounds)
5182,avonit 100 tablet sr,Utab 100mg Tablet SR,Utitone-SR Tablet,Nitrobest Tablet SR,Utichek 100mg Tablet SR,Niftas Tablet SR,Nausea,Vomiting,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections of urinary tract,,,,,Nitrofurans derivatives,No,UROLOGY,Urinary Antiseptic-Nitrofurantoin
5183,atlura 80 tablet,Luramax 80mg Tablet,Lurasid 80mg Tablet,Lurace 80mg Tablet,Lurastar 80mg Tablet,Lurata 80 Tablet,Nausea,Vomiting,Weight gain,Sleepiness,Dryness in mouth,Indigestion,Parkinsonism,Akathisia (inability to stay still),Anxiety,Stomach discomfort,Restlessness,Upper abdominal pain,Agitation,Insomnia (difficulty in sleeping),Increased saliva production,,,,,,,,,,,,,,,,,,,,,,,,,,,, Schizophrenia,,,,,Thiazole Derivative,No,NEURO CNS,Atypical Antipsychotics
5184,axacef 500mg tablet,Cefoxim 500 Tablet,Zefu 500 Tablet,Bigcef 500 Tablet,Cefakind 500 Tablet,Pulmocef 500 Tablet,Rash,Vomiting,Allergic reaction,Increased liver enzymes,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Intermediate spectrum {Second generation cephalosporins},No,ANTI INFECTIVES,Cephalosporins: 2nd generation
5185,alkel liquid,Citralite Liquid,Alkarate Liquid,Alkarate Liquid Sugar Free,,,Stomach pain,Tiredness,Diarrhea,Nausea,Vomiting,Frequent urge to urinate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gout,Treatment of Kidney stone,,,,Carboxylic acid derivative,No,UROLOGY,Uricosuric agent-gout
5186,apiz 10mg tablet,Aripiren 10mg Tablet,Ripramat 10 Tablet,Rizotal 10mg Tablet,Arip MT 10 Tablet,Ariday 10 Tablet,Akathisia (inability to stay still),Anxiety,Blurred vision,Constipation,Dizziness,Fatigue,Headache,Increased saliva production,Indigestion,Insomnia (difficulty in sleeping),Nausea,Parkinsonism,Restlessness,Sleepiness,Tremors,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,, Schizophrenia, Mania,,,,Dihydrocarbostyril Drivative,No,NEURO CNS,Atypical Antipsychotics
5187,atenopress 50mg tablet,Ziblok 50 Tablet,Ozoten 50mg Tablet,Hipres 50 Tablet,Obeta 50mg Tablet,Anol 50mg Tablet,Cold extremities,Fatigue,Slow heart rate,Nausea,Diarrhea,Dizziness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Treatment of Angina (heart-related chest pain),Treatment of Arrhythmia,Prevention of Heart attack,Prevention of Migraine,Synthetic isopropylamino propanol derivative,No,CARDIAC,Beta blocker- Cardioselective
5188,alviroz f 145mg/10mg tablet,Rosys-FT 10 Tablet,Lipipoint-F Tablet,Lodens F 145mg/10mg Tablet,Gladvas F 145mg/10mg Tablet,Lavirosu F 145mg/10mg Tablet,Headache,Muscle pain,Constipation,Abnormal liver function tests,Joint pain,Elevated creatine kinase,Diabetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of High cholesterol,Prevention of Heart attack,,,,,No,CARDIAC,
5189,aceclan tablet,Topnac 100mg Tablet,Topflam 100mg Tablet,Acenal 100mg Tablet,Safronac 100mg Tablet,Dolokind 100mg Tablet,Vomiting,Stomach pain/epigastric pain,Nausea,Indigestion,Diarrhea,Heartburn,Loss of appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,Dichlorobenzenes Derivative,No,PAIN ANALGESICS,NSAID's- Non-Selective COX 1&2 Inhibitors (acetic acid)
5190,allermark 5mg/10mg tablet,Montina-L Tablet,Lecope-M Tablet,Monticope Tablet,Levocet M Tablet,Ronycold-M Tablet,Nausea,Diarrhea,Dryness in mouth,Fatigue,Headache,Skin rash,Sleepiness,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,Treatment of Hay fever,Treatment of Allergic skin conditions,,,,No,RESPIRATORY,
5191,aptitrust syrup,App.UP Plus Syrup,,,,,Constipation,Dryness in mouth,Drowsiness,Sleepiness,Blurred vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Appetite stimulant,,,,,,No,VITAMINS MINERALS NUTRIENTS,
5192,aziser plus 200mg/250mg tablet,Scotfix AZ 200mg/250mg Tablet,Indfix AZ 200mg/250mg Tablet,Aeson-AZ Tablet,Spnﬁx-AZ Tablet,Bactxim AZ 200mg/250mg Tablet,Nausea,Vomiting,Diarrhea,Stomach pain,Indigestion,Flatulence,Loss of appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,,No,ANTI INFECTIVES,
5193,aclonac-th 4 tablet,Micronac TC 100mg/4mg Tablet,Bignac-MR 4 Tablet,Neorelax A 4mg Tablet,Thioquest A 100 mg/4 mg Tablet,Canace-TH4 Tablet,Nausea,Vomiting,Heartburn,Stomach pain/epigastric pain,Loss of appetite,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Pain due to muscle spasm,,,,,,No,PAIN ANALGESICS,
5194,aczest creamy face wash,,,,,,Dry skin,Erythema (skin redness),Burning sensation,Itching,Skin peeling,Stinging sensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Acne,,,,,Peroxide Derivative,No,DERMA,Keratoplastic and keratolytic agents
5195,azid 200mg/5ml syrup,Azinext 200mg/5ml Syrup,Aziber 200mg/5ml Syrup,Flaag 200mg/5ml Syrup,Aziforce 200mg/5ml Syrup,Unizith 200mg/5ml Syrup,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
5196,arsenall 200mg tablet,Cefilab 200 Tablet,Cefix 200 Tablet,Mahacef 200 Tablet,Cefi 200 Tablet,Ceftas 200 Tablet,Nausea,Stomach pain,Indigestion,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Broad spectrum (Third & fourth generation cephalosporins},No,ANTI INFECTIVES,Cephalosporins: 3 generation
5197,ankon 90 tablet,Etos 90 Tablet,Etoflam Activ 90 Tablet,Intacoxia 90 Tablet,Brutaflam 90mg Tablet,Etocox 90 Tablet,Oral ulcer,Bronchospasm,Increased liver enzymes,Esophagitis,Stomach pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,Sulfone and Pyridine Derivative,No,PAIN ANALGESICS,NSAID's -Selective COX-2 Inhibitors
5198,aclopride mr tablet,Acimol MR 100mg/325mg/250mg Tablet,Actines MR 100mg/325mg/250mg Tablet,Liberache MR 100mg/325mg/250mg Tablet,Zoceclo MR 100mg/325mg/250mg Tablet,Acelyn MR 100mg/325mg/250mg Tablet,Nausea,Vomiting,Heartburn,Stomach pain,Diarrhea,Loss of appetite,Tiredness,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Muscular pain,,,,,,No,PAIN ANALGESICS,
5199,angiografin 65% injection,,,,,,Vomiting,Nausea,Hives,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Diagnostic agent,,,,,Halobenzoic Acid,No,OTHERS,Radio contrast agents
5200,alcef o 200mg tablet,Cefilab 200 Tablet,Cefix 200 Tablet,Mahacef 200 Tablet,Cefi 200 Tablet,Ceftas 200 Tablet,Nausea,Stomach pain,Indigestion,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Broad spectrum (Third & fourth generation cephalosporins},No,ANTI INFECTIVES,Cephalosporins: 3 generation
5201,ascodex br syrup,Winnow X Syrup,Nefdyl X Syrup,Cosodril BT Syrup,Salmodil Plus Syrup,Nocfree Syrup,Nausea,Diarrhea,Bloating,Indigestion,Vomiting,Stomach pain,Sweating,Dizziness,Headache,Skin rash,Hives,Tremors,Increased heart rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Cough with mucus,,,,,,No,RESPIRATORY,
5202,awtor 20mg tablet,Atchol 20 Tablet,Lipikind 20 Tablet,Orvas 20 Tablet,Atorace 20 Tablet,Caditor 20 Tablet,Dyspepsia,Abdominal pain,Indigestion,Diarrhea,Joint pain,Nasopharyngitis (inflammation of the throat and nasal passages),Nausea,Pain in extremities,Urinary tract infection,Abnormal liver function tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, High cholesterol,Prevention of Heart attack,,,,Pyrrole & heptanoic acid derivative,No,CARDIAC,HMG CoA inhibitors (statins)
5203,am-urs 150 tablet,Ursolid 150 Tablet,Fortibile 150 Tablet,Ursomax 150 Tablet,Ursocad 150 Tablet,Udigold 150 Tablet,Abdominal pain,Diarrhea,Hair loss,Itching,Nausea,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Primary biliary cirrhosis,Treatment of Gallbladder stones,,,,Bile Acids and Salts,No,GASTRO INTESTINAL,Hepatoprotectives
5204,azeein oral suspension,Aztil 200mg Oral Suspension,Nuzith 200mg Oral Suspension,Ezika 200mg Oral Suspension,Dazi 200mg Oral Suspension,Throzi 200 Oral Suspension,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
5205,apgesic-mr tablet,Acimol MR 100mg/325mg/250mg Tablet,Kapinac CZ Tablet,Apc Plus Tablet,Acelyn MR 100mg/325mg/250mg Tablet,Lyfenac-MR Tablet,Nausea,Vomiting,Heartburn,Stomach pain,Diarrhea,Loss of appetite,Tiredness,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Muscular pain,,,,,,No,PAIN ANALGESICS,
5206,acnesone gel,Acnewar Gel,Pustulex Gel,Acnedap Gel,,,Oily skin,Skin peeling,Dry skin,Erythema (skin redness),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Acne,,,,,Sulfone & sulfonamides derivative,No,ANTI INFECTIVES,Anti leprotic
5207,algic 200mg tablet sr,Topnac 200mg Tablet SR,Kindac 200mg Tablet SR,Ultranac 200mg Tablet SR,Bignac 200mg Tablet SR,Arflur CR  Tablet,Dizziness,Indigestion,Nausea,Abdominal pain,Increased liver enzymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,Dichlorobenzenes Derivative,No,PAIN ANALGESICS,NSAID's- Non-Selective COX 1&2 Inhibitors (acetic acid)
5208,amvasc 2.5mg tablet,Ampine 2.5mg Tablet,Amcard 2.5 Tablet,Amlokind 2.5 Tablet,Amlip 2.5 Tablet,Amlong 2.5 Tablet,Headache,Fatigue,Nausea,Abdominal pain,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Prevention of Angina (heart-related chest pain),,,,Dihydropyridinecarboxylic acids derivatives,No,CARDIAC,Calcium channel blockers- Dihydropyridines (DHP)
5209,azidon 500mg tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Azee 500 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
5210,aceclogesic plus 100mg/500mg tablet,Xtra P 100 mg/500 mg Tablet,Jetace 100 mg/500 mg Tablet,Acebloc P 100 mg/500 mg Tablet,Icobit P 100 mg/500 mg Tablet,Aclomp P 100 mg/500 mg Tablet,Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
5211,amlovas ch 5 mg/12.5 mg tablet,Amlong CT Tablet,Enzochlor 5mg/12.5mg Tablet,Amlodac CH Tablet,,,Glucose intolerance,Sleepiness,Ankle swelling,Headache,"Flushing (sense of warmth in the face, ears, neck and trunk)",Tiredness,Palpitations,Nausea,Increased blood uric acid,Decreased potassium level in blood,Altered blood lipid level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Hypertension (high blood pressure),,,,,,No,CARDIAC,
